"filename","title","description","feature","topic","role","level"
"./metadata.md","","","","","",""
"././help/TOC.md","","","","","",""
"./help/media-overview.md","Measuring Streaming Media in Adobe Analytics","Adobe Analytics for Media (also referred to as Media Analytics) provides clients with robust media measurement for content, audio and advertisements.","","","",""
"./help/measurement-options/supported-devices.md","Supported devices and platforms","Adobe Analytics for Streaming Media ensures that each media stream is collected and reported across all devices.","","","",""
"./help/intro-to-ava/prereqs.md","Prerequisites","Prerequisites","","","",""
"./help/intro-to-ava/implementation-paths/implementation-paths.md","What Streaming Media Implementation Paths are Available?","Learn about Adobe Streaming Media implementation paths including Adobe Launch.","","","",""
"./help/intro-to-ava/implementation-paths/client-side-path.md","What are Media Analytics and client-side integrations?","Learn how Media Analytics works with client-side integrations and the Media SDK and/or the Media Collection API.","","","",""
"./help/measurement-options/mm-milestone-tracking/milestone-overview.md","Milestone overview","Milestone overview","","","",""
"./help/measurement-options/mm-milestone-tracking/migrate-ms-to-va.md","Migrating from Milestone to Media Analytics","Migrating from Milestone to Media Analytics","","","",""
"./help/measurement-options/mm-milestone-tracking/migrate-ms-to-cl.md","Migrating from Milestone to Custom Link","Migrating from Milestone to Custom Link","","","",""
"./help/measurement-options/cl-in-aa/cl-impl-guide.md","Custom Link implementation guide","","","","",""
"./help/intro-to-ava/implementation-paths/primetime-path.md","What is Adobe Primetime?","Learn about the Adobe Primetime solution and how it helps to monetize streaming media.","","","",""
"./help/intro-to-ava/am-enablement.md","What is Adobe Audience Manager enablement?","Learn how to link application actions to media tracking data without the need for additional processing rules and custom variables.","","","",""
"./help/sdk-implement/end-of-support-faqs.md","Media Analytics SDK End of Support FAQs","This topic includes FAQs about the end of support for Media Analytics SDKs.","","","",""
"./help/sdk-implement/download-sdks.md","Download SDKs","Links to SDK downloads for available platforms, including Android, iOS, JavaScript, Chromecast, and Roku.","","","",""
"./help/sdk-implement/setup/setup-overview.md","Setup Overview","Overview of setting up the Media SDK for media tracking in your mobile, OTT, and browser (JS) applications.","","","",""
"./help/sdk-implement/setup/set-up-android.md","Set up Android","Media SDK application setup for implementation on Android.","","","",""
"./help/sdk-implement/setup/set-up-ios.md","Set up iOS","Media SDK application setup for implementation on iOS.","","","",""
"./help/sdk-implement/setup/setup-javascript/set-up-js-2.md","Set up JavaScript 2.x","Media SDK application setup for implementation on JavaScript 2.x.","","","",""
"./help/sdk-implement/setup/setup-javascript/set-up-js-3.md","Set up JavaScript 3.x","Media SDK application setup for implementation on JavaScript 3.x.","","","",""
"./help/sdk-implement/setup/set-up-chromecast.md","Set up Chromecast","Media SDK application setup for implementation on Chromecast.","","","",""
"./help/sdk-implement/setup/set-up-roku.md","Set Up Roku","Media SDK application setup for implementation on Roku.","","","",""
"./help/sdk-implement/track-av-playback/track-core-overview.md","Tracking Overview","This topic describes tracking core playback, including tracking media load, media start, media pause, and media complete. ","","","",""
"./help/sdk-implement/track-av-playback/track-core/track-core-android.md","Track core playback on Android","This topic describes how to implement core tracking using the Media SDK on Android.","","","",""
"./help/sdk-implement/track-av-playback/track-core/track-core-ios.md","Track core playback on iOS","This topic describes how to implement core tracking using the Media SDK on iOS.","","","",""
"./help/sdk-implement/track-av-playback/track-core/track-core-javascript/track-core-js.md","Track core playback using JavaScript 2.x","This topic describes how to implement core tracking using the Media SDK in a browser using JavaScript 2.x apps.","","","",""
"./help/sdk-implement/track-av-playback/track-core/track-core-javascript/track-core-js3.md","Track core playback using JavaScript v3.x","This topic describes how to implement core tracking using the Media SDK in a browser using JavaScript 3.x apps.","","","",""
"./help/sdk-implement/track-av-playback/track-core/track-core-chromecast.md","Track core playback on Chromecast","This topic describes how to implement core tracking using the Media SDK on Chromecast.","","","",""
"./help/sdk-implement/track-av-playback/track-core/track-core-roku.md","Track core playback on Roku","This topic describes how to implement core tracking using the Media SDK on Roku.","","","",""
"./help/sdk-implement/track-av-playback/track-buffering/track-buffering-android.md","Track buffering on Android","Describes tracking buffering events on Android.","","","",""
"./help/sdk-implement/track-av-playback/track-buffering/track-buffering-ios.md","Track buffering on iOS","Describes tracking buffering events on iOS.","","","",""
"./help/sdk-implement/track-av-playback/track-buffering/track-buffering-js/track-buffering-js.md","Track buffering using JavaScript 2.x","Describes tracking buffering events in browser apps (JS).","","","",""
"./help/sdk-implement/track-av-playback/track-buffering/track-buffering-js/track-buffering-js3.md","Track buffering using JavaScript 3.x","Describes tracking buffering events in browser apps (JS).","","","",""
"./help/sdk-implement/track-av-playback/track-buffering/track-buffering-chromecast.md","Track buffering on Chromecast","Describes tracking buffering events on Chromecast.","","","",""
"./help/sdk-implement/track-av-playback/track-buffering/track-buffering-roku.md","Track buffering on Roku","Describes tracking buffering events on Roku.","","","",""
"./help/sdk-implement/track-av-playback/track-seeking/track-seeking-android.md","Track seeking on Android","This topic describes implementing seek tracking using the Media SDK on Android.","","","",""
