filename,title,description,feature,topic,role,level
./metadata.md,,,,,,
././help/TOC.md,,,,,,
./help/media-overview.md,Adobe Streaming Media in Adobe Analytics ,"Dig deeper into the state-of-the-art streaming media measurement for content, audio, and advertisements. Learn about Adobe Analytics for Streaming Media.",Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/measurement-options/supported-devices.md,Learn About Supported Devices and Platforms,"Learn about the major devices such as iOS, Android, OTT devices, and JavaScript browsers that Adobe Analytics for Streaming Media supports.",Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/intro-to-ava/prereqs.md,Leaern About Prerequisites for Streaming Media,Get Started with Adobe Analytics Streaming Media. Learn what you need to implement Adobe Analytics for Streaming Media.,"Media Analytics, System Requirements",,"Business Practitioner, Administrator, Data Engineer",
./help/intro-to-ava/implementation-paths/implementation-paths.md,What Streaming Media Implementation Paths are Available?,Learn about Adobe Streaming Media implementation paths including Adobe Launch.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/intro-to-ava/implementation-paths/client-side-path.md,What are Media Analytics and client-side integrations?,Learn how Media Analytics works with client-side integrations and the Media SDK and/or the Media Collection API.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/measurement-options/mm-milestone-tracking/milestone-overview.md,Learn About Milestone Reporting (Deprecated),Deprecated � Learn how to set up video reporting for a Milestone implementation,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/measurement-options/mm-milestone-tracking/migrate-ms-to-va.md,Learn How To Migrate from Milestone to Media Analytics,Learn how to change Milestone variables to Media Analytics Metrics and Milestone module methods to Media Analytics syntax.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/measurement-options/mm-milestone-tracking/migrate-ms-to-cl.md,Learn About Migrating from Milestone to Custom Link,Learn how to change Milestone variables to Custom Link  and Milestone module methods to the Custom Link syntax.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/measurement-options/cl-in-aa/cl-impl-guide.md,Custom Link Implementation Explained,Learn how to implement Custom Link tracking in Streaming Media Analytics.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/intro-to-ava/implementation-paths/primetime-path.md,What is Adobe Primetime?,Learn about the Adobe Primetime solution and how it helps to monetize streaming media.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/intro-to-ava/am-enablement.md,What is Adobe Audience Manager enablement?,Learn how to link application actions to media tracking data without the need for additional processing rules and custom variables.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/sdk-implement/end-of-support-faqs.md,Learn About Media Analytics SDK End of Support FAQs,This topic includes FAQs about the end of support for Media Analytics SDKs.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/sdk-implement/download-sdks.md,Access Links to Download Media Analytics SDKs,"Links to SDK downloads for available platforms, including Android, iOS, JavaScript, Chromecast, and Roku.",Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/sdk-implement/setup/setup-overview.md,Implement Media SDKs Explained,"Learn how to set up the Media SDK for media tracking in your mobile, OTT, and browser (JS) applications.",Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/sdk-implement/setup/set-up-android.md,How to Set up the Media SKD on Android,Follow these steps to setup the Media SDK application on Android.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/sdk-implement/setup/set-up-ios.md,How to Set up the Media SKD on iOS,Follow these steps to setup the Media SDK application on iOS.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/sdk-implement/setup/setup-javascript/set-up-js-2.md,How to Set up the Media SKD Using JavaScript 2.x,Follow these steps to setup the Media SDK application on JavaScript 2.x.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/sdk-implement/setup/setup-javascript/set-up-js-3.md,How to Set up the Media SKD Using JavaScript 3.x,Follow these steps to setup the Media SDK application on JavaScript 3.x.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/sdk-implement/setup/set-up-chromecast.md,How to Set up the Media SKD for Chromecast,Follow these steps to setup the Media SDK application on Chromecast.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/sdk-implement/setup/set-up-roku.md,How to Set up the Media SKD for Roku,Follow these steps to setup the Media SDK application on Roku.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/sdk-implement/track-av-playback/track-core-overview.md,Tracking Content Playback Explained,"Learn about tracking core playback, including tracking media load, media start, media pause, and media complete. ",Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/sdk-implement/track-av-playback/track-core/track-core-android.md,Learn How To Track Core Playback on Android,Learn how to implement core tracking using the Media SDK on Android.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
./help/sdk-implement/track-av-playback/track-core/track-core-ios.md,Learn How To Track Core Playback on iOS,Learn how to implement core tracking using the Media SDK on iOS.,Media Analytics,,"Business Practitioner, Administrator, Data Engineer",
